species,speciesName,lv,hp,attack,criticalAttack,defense,critical,avoid,lucky,speed
0,カブトムシ,1,6,5,6,4,7,6,6,6
0,カブトムシ,2,9,7,9,6,10,9,9,9
0,カブトムシ,3,12,10,12,8,14,12,12,12
0,カブトムシ,4,15,12,15,10,17,15,15,15
0,カブトムシ,5,18,15,18,12,21,18,18,18
0,カブトムシ,6,21,17,21,14,24,21,21,21
0,カブトムシ,7,24,20,24,16,28,24,24,24
0,カブトムシ,8,27,22,27,18,31,27,27,27
0,カブトムシ,9,30,25,30,20,35,30,30,30
0,カブトムシ,10,33,27,33,22,38,33,33,33
0,カブトムシ,11,36,30,36,24,42,36,36,36
0,カブトムシ,12,39,32,39,26,45,39,39,39
0,カブトムシ,13,42,35,42,28,49,42,42,42
0,カブトムシ,14,45,37,45,30,52,45,45,45
0,カブトムシ,15,48,40,48,32,56,48,48,48
0,カブトムシ,16,51,42,51,34,59,51,51,51
0,カブトムシ,17,54,45,54,36,63,54,54,54
0,カブトムシ,18,57,47,57,38,66,57,57,57
0,カブトムシ,19,60,50,60,40,70,60,60,60
0,カブトムシ,20,63,52,63,42,73,63,63,63
0,カブトムシ,21,66,55,66,44,77,66,66,66
0,カブトムシ,22,69,57,69,46,80,69,69,69
0,カブトムシ,23,72,60,72,48,84,72,72,72
0,カブトムシ,24,75,62,75,50,87,75,75,75
0,カブトムシ,25,78,65,78,52,91,78,78,78
0,カブトムシ,26,81,67,81,54,94,81,81,81
0,カブトムシ,27,84,70,84,56,98,84,84,84
0,カブトムシ,28,87,72,87,58,101,87,87,87
0,カブトムシ,29,90,75,90,60,105,90,90,90
0,カブトムシ,30,93,77,93,62,108,93,93,93
0,カブトムシ,31,96,80,96,64,112,96,96,96
0,カブトムシ,32,99,82,99,66,115,99,99,99
0,カブトムシ,33,102,85,102,68,119,102,102,102
0,カブトムシ,34,105,87,105,70,122,105,105,105
0,カブトムシ,35,108,90,108,72,126,108,108,108
0,カブトムシ,36,111,92,111,74,129,111,111,111
0,カブトムシ,37,114,95,114,76,133,114,114,114
0,カブトムシ,38,117,97,117,78,136,117,117,117
0,カブトムシ,39,120,100,120,80,140,120,120,120
0,カブトムシ,40,123,102,123,82,143,123,123,123
0,カブトムシ,41,126,105,126,84,147,126,126,126
0,カブトムシ,42,129,107,129,86,150,129,129,129
0,カブトムシ,43,132,110,132,88,154,132,132,132
