species,speciesName,parts,partsKey,partsName,rank,color,colorName,hp,attack,criticalAttack,defense,critical,avoid,lucky,speed
0,カブトムシ,0,horn1,ツノ1,0,1,茶,0,40,20,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,1,1,茶,0,45,22,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,2,1,茶,0,50,25,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,3,1,茶,0,55,27,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,4,1,茶,0,60,30,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,5,2,黄,0,75,37,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,6,3,赤,0,100,50,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,7,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,8,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,9,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,0,horn1,ツノ1,10,4,金,0,200,100,0,0,0,0,0
0,カブトムシ,2,body,ボディ,0,1,茶,0,0,0,40,0,0,0,0
0,カブトムシ,2,body,ボディ,1,1,茶,0,0,0,45,0,0,0,0
0,カブトムシ,2,body,ボディ,2,1,茶,0,0,0,50,0,0,0,0
0,カブトムシ,2,body,ボディ,3,1,茶,0,0,0,55,0,0,0,0
0,カブトムシ,2,body,ボディ,4,1,茶,0,0,0,60,0,0,0,0
0,カブトムシ,2,body,ボディ,5,2,黄,0,0,0,75,0,0,0,0
0,カブトムシ,2,body,ボディ,6,3,赤,0,0,0,100,0,0,0,0
0,カブトムシ,2,body,ボディ,7,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,2,body,ボディ,8,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,2,body,ボディ,9,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,2,body,ボディ,10,4,金,0,0,0,200,0,0,0,0
0,カブトムシ,3,face,フェイス,0,0,なし,0,0,0,0,0,50,0,0
0,カブトムシ,3,face,フェイス,1,0,なし,0,0,0,0,0,55,0,0
0,カブトムシ,3,face,フェイス,2,0,なし,0,0,0,0,0,60,0,0
0,カブトムシ,3,face,フェイス,3,0,なし,0,0,0,0,0,75,0,0
0,カブトムシ,3,face,フェイス,4,0,なし,0,0,0,0,0,100,0,0
0,カブトムシ,3,face,フェイス,5,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,3,face,フェイス,6,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,3,face,フェイス,7,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,3,face,フェイス,8,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,3,face,フェイス,9,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,3,face,フェイス,10,0,なし,0,0,0,0,0,200,0,0
0,カブトムシ,4,head,ヘッド,0,1,茶,40,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,1,1,茶,45,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,2,1,茶,50,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,3,1,茶,55,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,4,1,茶,60,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,5,2,黄,75,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,6,3,赤,100,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,7,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,8,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,9,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,4,head,ヘッド,10,4,金,200,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,0,1,茶,0,0,0,0,0,0,60,0
0,カブトムシ,5,neck,マフラー,1,2,黄,0,0,0,0,0,0,75,0
0,カブトムシ,5,neck,マフラー,2,3,赤,0,0,0,0,0,0,100,0
0,カブトムシ,5,neck,マフラー,3,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,4,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,5,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,6,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,7,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,8,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,9,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,5,neck,マフラー,10,4,金,0,0,0,0,0,0,200,0
0,カブトムシ,6,wing,ハネ,0,0,なし,0,0,0,0,0,0,0,0
0,カブトムシ,6,wing,ハネ,1,1,茶,0,0,0,0,0,0,0,60
0,カブトムシ,6,wing,ハネ,2,2,黄,0,0,0,0,0,0,0,75
0,カブトムシ,6,wing,ハネ,3,3,赤,0,0,0,0,0,0,0,100
0,カブトムシ,6,wing,ハネ,4,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,6,wing,ハネ,5,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,6,wing,ハネ,6,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,6,wing,ハネ,7,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,6,wing,ハネ,8,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,6,wing,ハネ,9,0,ReservedRank,0,0,0,0,0,0,0,0
0,カブトムシ,6,wing,ハネ,10,4,金,0,0,0,0,0,0,0,200
1,コクワガタ,0,horn1,ツノ1,0,1,茶,0,40,20,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,1,1,茶,0,45,22,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,2,1,茶,0,50,25,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,3,1,茶,0,55,27,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,4,1,茶,0,60,30,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,5,2,黄,0,75,37,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,6,3,赤,0,100,50,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,7,0,ReservedRank,0,0,0,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,8,0,ReservedRank,0,0,0,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,9,0,ReservedRank,0,0,0,0,0,0,0,0
1,コクワガタ,0,horn1,ツノ1,10,4,金,0,200,100,0,0,0,0,0
1,コクワガタ,2,body,ボディ,0,1,茶,0,0,0,40,0,0,0,0
1,コクワガタ,2,body,ボディ,1,1,茶,0,0,0,45,0,0,0,0
1,コクワガタ,2,body,ボディ,2,1,茶,0,0,0,50,0,0,0,0
