species,speciesName,lv,hp,attack,criticalAttack,defense,critical,avoid,lucky,speed
0,カブトムシ,1,2,2,2,2,2,2,2,2
0,カブトムシ,2,3,3,3,3,3,3,3,3
0,カブトムシ,3,4,4,4,4,4,4,4,4
0,カブトムシ,4,5,5,5,5,5,5,5,5
0,カブトムシ,5,6,6,6,6,6,6,6,6
0,カブトムシ,6,7,7,7,7,7,7,7,7
0,カブトムシ,7,8,8,8,8,8,8,8,8
0,カブトムシ,8,9,9,9,9,9,9,9,9
0,カブトムシ,9,10,10,10,10,10,10,10,10
0,カブトムシ,10,11,11,11,11,11,11,11,11
0,カブトムシ,11,12,12,12,12,12,12,12,12
0,カブトムシ,12,13,13,13,13,13,13,13,13
0,カブトムシ,13,14,14,14,14,14,14,14,14
0,カブトムシ,14,15,15,15,15,15,15,15,15
0,カブトムシ,15,16,16,16,16,16,16,16,16
0,カブトムシ,16,17,17,17,17,17,17,17,17
0,カブトムシ,17,18,18,18,18,18,18,18,18
0,カブトムシ,18,19,19,19,19,19,19,19,19
0,カブトムシ,19,20,20,20,20,20,20,20,20
0,カブトムシ,20,21,21,21,21,21,21,21,21
0,カブトムシ,21,22,22,22,22,22,22,22,22
0,カブトムシ,22,23,23,23,23,23,23,23,23
0,カブトムシ,23,24,24,24,24,24,24,24,24
0,カブトムシ,24,25,25,25,25,25,25,25,25
0,カブトムシ,25,26,26,26,26,26,26,26,26
0,カブトムシ,26,27,27,27,27,27,27,27,27
0,カブトムシ,27,28,28,28,28,28,28,28,28
0,カブトムシ,28,29,29,29,29,29,29,29,29
0,カブトムシ,29,30,30,30,30,30,30,30,30
0,カブトムシ,30,31,31,31,31,31,31,31,31
0,カブトムシ,31,32,32,32,32,32,32,32,32
0,カブトムシ,32,33,33,33,33,33,33,33,33
0,カブトムシ,33,34,34,34,34,34,34,34,34
0,カブトムシ,34,35,35,35,35,35,35,35,35
0,カブトムシ,35,36,36,36,36,36,36,36,36
0,カブトムシ,36,37,37,37,37,37,37,37,37
0,カブトムシ,37,38,38,38,38,38,38,38,38
0,カブトムシ,38,39,39,39,39,39,39,39,39
0,カブトムシ,39,40,40,40,40,40,40,40,40
0,カブトムシ,40,41,41,41,41,41,41,41,41
0,カブトムシ,41,42,42,42,42,42,42,42,42
0,カブトムシ,42,43,43,43,43,43,43,43,43
0,カブトムシ,43,44,44,44,44,44,44,44,44
0,カブトムシ,44,45,45,45,45,45,45,45,45
0,カブトムシ,45,46,46,46,46,46,46,46,46
0,カブトムシ,46,47,47,47,47,47,47,47,47
0,カブトムシ,47,48,48,48,48,48,48,48,48
0,カブトムシ,48,49,49,49,49,49,49,49,49
0,カブトムシ,49,50,50,50,50,50,50,50,50
0,カブトムシ,50,51,51,51,51,51,51,51,51
0,カブトムシ,51,52,52,52,52,52,52,52,52
0,カブトムシ,52,53,53,53,53,53,53,53,53
0,カブトムシ,53,54,54,54,54,54,54,54,54
0,カブトムシ,54,55,55,55,55,55,55,55,55
0,カブトムシ,55,56,56,56,56,56,56,56,56
0,カブトムシ,56,57,57,57,57,57,57,57,57
0,カブトムシ,57,58,58,58,58,58,58,58,58
0,カブトムシ,58,59,59,59,59,59,59,59,59
0,カブトムシ,59,60,60,60,60,60,60,60,60
0,カブトムシ,60,61,61,61,61,61,61,61,61
0,カブトムシ,61,62,62,62,62,62,62,62,62
0,カブトムシ,62,63,63,63,63,63,63,63,63
0,カブトムシ,63,64,64,64,64,64,64,64,64
0,カブトムシ,64,65,65,65,65,65,65,65,65
0,カブトムシ,65,66,66,66,66,66,66,66,66
0,カブトムシ,66,67,67,67,67,67,67,67,67
0,カブトムシ,67,68,68,68,68,68,68,68,68
0,カブトムシ,68,69,69,69,69,69,69,69,69
0,カブトムシ,69,70,70,70,70,70,70,70,70
0,カブトムシ,70,71,71,71,71,71,71,71,71
0,カブトムシ,71,72,72,72,72,72,72,72,72
0,カブトムシ,72,73,73,73,73,73,73,73,73
0,カブトムシ,73,74,74,74,74,74,74,74,74
0,カブトムシ,74,75,75,75,75,75,75,75,75
0,カブトムシ,75,76,76,76,76,76,76,76,76
0,カブトムシ,76,77,77,77,77,77,77,77,77
0,カブトムシ,77,78,78,78,78,78,78,78,78
0,カブトムシ,78,79,79,79,79,79,79,79,79
0,カブトムシ,79,80,80,80,80,80,80,80,80
0,カブトムシ,80,81,81,81,81,81,81,81,81
0,カブトムシ,81,82,82,82,82,82,82,82,82
0,カブトムシ,82,83,83,83,83,83,83,83,83
0,カブトムシ,83,84,84,84,84,84,84,84,84
0,カブトムシ,84,85,85,85,85,85,85,85,85
0,カブトムシ,85,86,86,86,86,86,86,86,86
0,カブトムシ,86,87,87,87,87,87,87,87,87
0,カブトムシ,87,88,88,88,88,88,88,88,88
0,カブトムシ,88,89,89,89,89,89,89,89,89
0,カブトムシ,89,90,90,90,90,90,90,90,90
0,カブトムシ,90,91,91,91,91,91,91,91,91
0,カブトムシ,91,92,92,92,92,92,92,92,92
0,カブトムシ,92,93,93,93,93,93,93,93,93
0,カブトムシ,93,94,94,94,94,94,94,94,94
0,カブトムシ,94,95,95,95,95,95,95,95,95
0,カブトムシ,95,96,96,96,96,96,96,96,96
0,カブトムシ,96,97,97,97,97,97,97,97,97
0,カブトムシ,97,98,98,98,98,98,98,98,98
0,カブトムシ,98,99,99,99,99,99,99,99,99
0,カブトムシ,99,100,100,100,100,100,100,100,100
1,コクワガタ,1,2,2,2,2,2,2,2,2
1,コクワガタ,2,3,3,3,3,3,3,3,3
1,コクワガタ,3,4,4,4,4,4,4,4,4
1,コクワガタ,4,5,5,5,5,5,5,5,5
1,コクワガタ,5,6,6,6,6,6,6,6,6
1,コクワガタ,6,7,7,7,7,7,7,7,7
1,コクワガタ,7,8,8,8,8,8,8,8,8
1,コクワガタ,8,9,9,9,9,9,9,9,9
1,コクワガタ,9,10,10,10,10,10,10,10,10
1,コクワガタ,10,11,11,11,11,11,11,11,11
1,コクワガタ,11,12,12,12,12,12,12,12,12
1,コクワガタ,12,13,13,13,13,13,13,13,13
1,コクワガタ,13,14,14,14,14,14,14,14,14
1,コクワガタ,14,15,15,15,15,15,15,15,15
1,コクワガタ,15,16,16,16,16,16,16,16,16
1,コクワガタ,16,17,17,17,17,17,17,17,17
1,コクワガタ,17,18,18,18,18,18,18,18,18
1,コクワガタ,18,19,19,19,19,19,19,19,19
1,コクワガタ,19,20,20,20,20,20,20,20,20
1,コクワガタ,20,21,21,21,21,21,21,21,21
1,コクワガタ,21,22,22,22,22,22,22,22,22
1,コクワガタ,22,23,23,23,23,23,23,23,23
1,コクワガタ,23,24,24,24,24,24,24,24,24
1,コクワガタ,24,25,25,25,25,25,25,25,25
1,コクワガタ,25,26,26,26,26,26,26,26,26
1,コクワガタ,26,27,27,27,27,27,27,27,27
1,コクワガタ,27,28,28,28,28,28,28,28,28
1,コクワガタ,28,29,29,29,29,29,29,29,29
1,コクワガタ,29,30,30,30,30,30,30,30,30
1,コクワガタ,30,31,31,31,31,31,31,31,31
1,コクワガタ,31,32,32,32,32,32,32,32,32
1,コクワガタ,32,33,33,33,33,33,33,33,33
1,コクワガタ,33,34,34,34,34,34,34,34,34
1,コクワガタ,34,35,35,35,35,35,35,35,35
1,コクワガタ,35,36,36,36,36,36,36,36,36
1,コクワガタ,36,37,37,37,37,37,37,37,37
1,コクワガタ,37,38,38,38,38,38,38,38,38
1,コクワガタ,38,39,39,39,39,39,39,39,39
1,コクワガタ,39,40,40,40,40,40,40,40,40
1,コクワガタ,40,41,41,41,41,41,41,41,41
